ts,open,high,low,close,volume
1740528000000,21.935,22.335,21.62,22.2,348704.7
1740542400000,22.2,22.405,21.915,22.155,305431.9
1740556800000,22.155,22.585,21.865,22.15,451127.9
1740571200000,22.15,22.415,21.455,22.245,797764.8
1740585600000,22.245,22.44,21.05,21.215,1142759.9
1740600000000,21.215,22.275,20.98,21.86,930194.3
1740614400000,21.86,22.43,21.635,22.33,522471.2
1740628800000,22.33,23.17,22.16,22.995,544558.5
1740643200000,22.995,23.385,22.845,23.02,498930.6
1740657600000,23.02,23.32,22.525,22.77,716904.4
1740672000000,22.77,22.935,22.17,22.325,638519.2
1740686400000,22.325,22.59,21.975,22.515,458065.8
1740700800000,22.515,22.595,20.53,20.575,1764792.4
1740715200000,20.575,20.76,20.205,20.615,1018504.0
1740729600000,20.615,21.445,20.385,20.95,848022.9
1740744000000,20.95,21.995,20.735,21.725,959993.0
1740758400000,21.725,22.245,21.52,22.11,708857.9
1740772800000,22.11,22.405,21.785,22.37,348176.8
1740787200000,22.37,22.52,22.01,22.22,372736.4
1740801600000,22.22,22.45,21.825,21.875,310104.5
1740816000000,21.875,22.06,21.42,21.46,319790.2
1740830400000,21.46,21.545,21.035,21.295,338299.9
1740844800000,21.295,21.735,21.23,21.68,292935.4
1740859200000,21.68,22.175,21.51,21.85,362599.9
1740873600000,21.85,21.97,21.685,21.815,296213.2
1740888000000,21.815,22.09,21.735,21.88,265270.7
1740902400000,21.88,22.185,21.755,22.05,221737.4
1740916800000,22.05,23.05,21.54,22.505,1697857.4
1740931200000,22.505,24.795,22.505,24.665,2300684.1
1740945600000,24.665,25.0,24.46,24.95,486446.1
1740960000000,24.95,25.115,23.925,24.535,728126.1
1740974400000,24.535,24.69,23.355,23.815,667153.7
1740988800000,23.815,23.84,23.005,23.49,715208.2
1741003200000,23.49,23.995,22.945,23.235,1373872.5
1741017600000,23.235,23.405,20.89,20.94,2878207.7
1741032000000,20.94,21.31,20.55,20.935,1091542.6
1741046400000,20.935,21.095,19.605,19.81,2335980.1
1741060800000,19.81,20.3,19.68,20.03,543628.3
1741075200000,20.03,20.26,19.665,19.885,665069.0
1741089600000,19.885,20.59,19.325,19.92,2130085.9
1741104000000,19.92,20.39,18.82,20.31,2004508.1
1741118400000,20.31,20.505,19.825,19.985,977964.9
1741132800000,19.985,20.28,19.675,19.76,519392.2
1741147200000,19.76,20.185,19.715,20.13,402232.9
1741161600000,20.13,21.355,20.125,20.975,968883.6
1741176000000,20.975,21.225,20.23,20.39,1181535.1
1741190400000,20.39,21.26,20.055,21.225,1164516.3
1741204800000,21.225,22.47,21.225,21.705,1529525.3
1741219200000,21.705,22.415,21.43,22.36,865283.5
1741233600000,22.36,22.565,21.63,21.685,583860.9
1741248000000,21.685,22.27,21.6,21.96,694785.1
1741262400000,21.96,22.1,21.19,21.96,1323448.5
1741276800000,21.96,22.105,20.87,21.05,1500616.8
1741291200000,21.05,21.49,20.965,20.985,689410.0
1741305600000,20.985,21.305,19.655,20.25,2725656.7
1741320000000,20.25,20.78,20.195,20.725,553032.8
1741334400000,20.725,20.895,20.425,20.785,598299.0
1741348800000,20.785,21.125,20.42,20.705,1582583.1
1741363200000,20.705,21.2,19.995,20.82,1488994.9
1741377600000,20.82,20.955,19.915,20.125,1314719.5
1741392000000,20.125,20.23,19.595,19.85,904246.9
1741406400000,19.85,20.045,19.725,19.785,278026.4
1741420800000,19.785,19.835,19.39,19.525,402308.0
1741435200000,19.525,21.065,19.44,20.46,1590101.7
1741449600000,20.46,20.855,20.255,20.82,586926.8
1741464000000,20.82,20.96,20.34,20.485,410030.4
1741478400000,20.485,20.665,20.2,20.26,273796.1
1741492800000,20.26,20.358,20.016,20.129,581677.3
1741507200000,20.129,20.139,19.589,19.7,1036628.5
1741521600000,19.7,19.703,19.064,19.153,1232483.8
1741536000000,19.153,19.34,17.76,18.229,2258873.1
1741550400000,18.229,18.422,17.744,17.95,1385846.0
1741564800000,17.95,18.479,17.609,18.162,2204876.0
1741579200000,18.162,18.456,18.137,18.39,1137838.5
1741593600000,18.39,19.054,17.978,18.837,2345255.5
1741608000000,18.837,18.984,17.389,17.782,2725554.6
1741622400000,17.782,17.861,16.142,16.893,3773354.9
1741636800000,16.893,16.96,16.225,16.25,2371709.8
1741651200000,16.25,17.05,15.264,16.566,4311417.2
1741665600000,16.566,17.086,16.513,16.95,1755540.4
1741680000000,16.95,17.445,16.872,17.354,1645183.9
1741694400000,17.354,17.47,16.486,17.349,3322551.7
1741708800000,17.349,17.898,16.944,17.751,2239987.2
1741723200000,17.751,17.879,17.444,17.5,1171750.6
1741737600000,17.5,17.817,17.05,17.07,1665631.4
1741752000000,17.07,17.578,16.931,17.538,1336168.6
1741766400000,17.538,18.234,17.468,18.228,1846226.9
1741780800000,18.228,18.83,17.518,17.963,3274152.5
1741795200000,17.963,18.589,17.936,18.39,1886625.1
1741809600000,18.39,18.964,18.333,18.901,1351861.5
1741824000000,18.901,19.18,18.707,18.843,1569543.6
1741838400000,18.843,19.127,18.549,18.785,1603584.5
1741852800000,18.785,19.325,18.601,19.015,1877621.7
1741867200000,19.015,19.187,18.289,18.378,2641893.7
1741881600000,18.378,18.444,17.906,18.154,1625477.0
1741896000000,18.154,18.893,17.727,18.493,1882812.4
1741910400000,18.493,18.896,18.452,18.751,965579.2
1741924800000,18.751,18.88,18.471,18.642,650819.9
1741939200000,18.642,19.118,18.574,18.756,987122.9
1741953600000,18.756,19.287,18.513,18.997,1674138.3
1741968000000,18.997,19.298,18.766,18.976,1090168.9
1741982400000,18.976,19.107,18.512,18.555,2092930.4
1741996800000,18.555,18.647,18.363,18.617,752379.5
1742011200000,18.617,18.879,18.481,18.595,949315.0
1742025600000,18.595,18.64,18.418,18.55,906867.2
1742040000000,18.55,18.715,18.399,18.541,772346.2
1742054400000,18.541,18.753,18.46,18.608,692846.6
1742068800000,18.608,19.471,18.607,19.382,2203851.7
1742083200000,19.382,19.716,18.951,19.692,1259796.5
1742097600000,19.692,19.841,19.261,19.343,928764.4
1742112000000,19.343,19.395,18.314,18.397,1441937.3
1742126400000,18.397,18.679,18.145,18.474,1450929.0
1742140800000,18.474,19.055,18.197,18.322,1688304.2
1742155200000,18.322,18.458,18.101,18.24,851072.3
1742169600000,18.24,18.73,18.211,18.609,872047.2
1742184000000,18.609,18.719,18.239,18.604,795862.7
1742198400000,18.604,18.725,18.39,18.601,707246.9
1742212800000,18.601,18.81,18.18,18.455,1787177.6
1742227200000,18.455,19.083,18.369,18.93,1298238.9
1742241600000,18.93,18.975,18.683,18.809,647097.9
1742256000000,18.809,18.943,18.381,18.555,1145995.4
1742270400000,18.555,19.03,18.429,18.81,1290596.9
1742284800000,18.81,19.266,18.699,18.785,1388720.3
1742299200000,18.785,18.898,18.343,18.434,1801548.0
1742313600000,18.434,18.71,18.307,18.657,1308828.7
1742328000000,18.657,19.077,18.44,18.973,964270.5
1742342400000,18.973,19.224,18.826,19.181,818573.9
1742356800000,19.181,19.324,18.895,18.903,821999.3
1742371200000,18.903,19.657,18.884,19.536,1312253.6
1742385600000,19.536,19.947,19.291,19.842,1870302.8
1742400000000,19.842,20.093,19.389,19.578,1864708.4
1742414400000,19.578,19.777,19.374,19.72,937585.0
1742428800000,19.72,19.855,19.245,19.275,936205.0
1742443200000,19.275,19.288,19.07,19.124,644088.1
1742457600000,19.124,19.317,18.73,18.826,965900.0
1742472000000,18.826,19.179,18.728,18.756,1188149.5
1742486400000,18.756,18.865,18.389,18.702,1012255.5
1742500800000,18.702,18.786,18.61,18.738,439865.3
1742515200000,18.738,19.109,18.714,18.8,560450.7
1742529600000,18.8,19.001,18.673,18.745,613093.3
1742544000000,18.745,18.868,18.416,18.5,892231.3
1742558400000,18.5,18.633,18.336,18.474,1018751.1
1742572800000,18.474,18.905,18.38,18.882,939931.9
1742587200000,18.882,19.483,18.854,19.17,994542.8
1742601600000,19.17,19.395,19.064,19.292,687243.3
1742616000000,19.292,19.48,19.292,19.358,477015.2
1742630400000,19.358,19.638,19.313,19.439,637331.3
1742644800000,19.439,19.575,19.257,19.537,493251.9
1742659200000,19.537,19.715,19.461,19.65,671369.1
1742673600000,19.65,19.738,19.327,19.418,735270.1
1742688000000,19.418,19.711,19.319,19.704,531310.6
1742702400000,19.704,19.709,19.458,19.57,403496.7
1742716800000,19.57,19.775,19.472,19.61,601539.5
1742731200000,19.61,19.687,19.421,19.475,720520.6
1742745600000,19.475,19.629,19.29,19.486,828004.8
1742760000000,19.486,19.84,19.329,19.806,741412.1
1742774400000,19.806,21.157,19.759,21.139,2011523.1
1742788800000,21.139,21.829,21.132,21.507,1856948.7
1742803200000,21.507,21.934,21.504,21.68,1118642.5
1742817600000,21.68,22.128,21.404,21.52,2029525.6
1742832000000,21.52,21.564,21.222,21.368,956621.6
1742846400000,21.368,21.486,21.218,21.466,700100.5
1742860800000,21.466,21.667,21.313,21.34,1044672.5
1742875200000,21.34,21.929,21.271,21.848,1124159.4
1742889600000,21.848,22.392,21.832,22.313,849899.5
1742904000000,22.313,22.807,22.127,22.466,1566277.2
1742918400000,22.466,23.226,22.417,23.03,1107619.0
