ts,open,high,low,close,volume
1740607200000,610.95,617.75,610.95,614.55,8257.45
1740610800000,614.55,617.0,610.45,611.3,2162.11
1740614400000,611.3,612.0,605.8,608.95,4003.08
1740618000000,608.95,615.9,606.05,612.9,3537.49
1740621600000,612.9,615.25,608.3,609.3,3226.23
1740625200000,609.3,614.3,608.75,613.15,2734.18
1740628800000,613.15,614.85,608.3,611.75,7337.47
1740632400000,611.75,615.95,610.25,614.95,9455.11
1740636000000,614.95,618.55,613.6,617.75,5559.97
1740639600000,617.75,619.25,615.95,617.4,2298.8
1740643200000,617.4,618.15,614.75,614.85,2216.66
1740646800000,614.85,617.25,613.2,613.8,4253.14
1740650400000,613.8,616.05,612.85,614.7,3518.82
1740654000000,614.7,614.85,610.5,611.6,2480.19
1740657600000,611.6,612.35,609.0,610.35,3186.38
1740661200000,610.35,612.45,608.4,609.6,3216.39
1740664800000,609.6,611.6,602.5,602.8,5592.57
1740668400000,602.8,607.4,600.2,606.1,4089.92
1740672000000,606.1,608.6,601.9,602.35,2963.06
1740675600000,602.35,607.6,602.05,607.0,1677.04
1740679200000,607.0,609.1,606.7,607.35,1618.36
1740682800000,607.35,607.5,602.3,604.85,2660.9
1740686400000,604.85,605.15,596.95,599.0,5767.42
1740690000000,599.0,605.45,595.15,605.4,3495.43
1740693600000,605.4,606.75,601.7,606.3,2053.04
1740697200000,606.3,606.65,604.45,605.15,1473.14
1740700800000,605.15,605.9,601.35,601.35,1789.72
1740704400000,601.35,603.2,585.15,587.3,16609.38
1740708000000,587.3,591.3,573.65,580.3,15071.02
1740711600000,580.3,586.4,571.5,572.7,9330.7
1740715200000,572.7,578.1,568.1,575.0,12119.1
1740718800000,575.0,576.15,566.85,572.8,9564.84
1740722400000,572.8,575.3,563.9,568.9,8114.52
1740726000000,568.9,575.1,565.1,566.95,4729.87
1740729600000,566.95,570.95,559.35,570.65,10534.11
1740733200000,570.65,579.05,569.95,577.65,8433.92
1740736800000,577.65,577.95,568.7,569.55,4710.88
1740740400000,569.55,574.7,569.1,571.0,2982.1
1740744000000,571.0,573.45,567.45,572.25,4443.46
1740747600000,572.25,579.6,570.8,577.65,5996.96
1740751200000,577.65,585.0,577.4,582.25,5492.64
1740754800000,582.25,593.3,581.95,588.1,6190.49
