ts,open,high,low,close,volume
1740606300000,0.20254,0.20479,0.20178,0.20479,14262295.0
1740607200000,0.20479,0.20765,0.20471,0.20578,24244600.0
1740608100000,0.20578,0.20644,0.2046,0.2046,10644422.0
1740609000000,0.2046,0.20514,0.20425,0.20488,5765498.0
1740609900000,0.20488,0.20635,0.20445,0.20493,8192500.0
1740610800000,0.20493,0.206,0.20402,0.20405,7529554.0
1740611700000,0.20405,0.2045,0.20307,0.20371,13116299.0
1740612600000,0.20371,0.20373,0.20252,0.20275,9070910.0
1740613500000,0.20275,0.2036,0.20233,0.20345,6696996.0
1740614400000,0.20345,0.2045,0.20311,0.20333,10160620.0
1740615300000,0.20333,0.20421,0.20251,0.20322,9384724.0
1740616200000,0.20322,0.20337,0.20128,0.20311,31254608.0
1740617100000,0.20311,0.20439,0.20282,0.20282,11006018.0
1740618000000,0.20282,0.20309,0.20092,0.20283,13022966.0
1740618900000,0.20283,0.20592,0.20214,0.20512,50196436.0
1740619800000,0.20512,0.20555,0.20354,0.20407,12749736.0
1740620700000,0.20407,0.20518,0.20369,0.20419,8106859.0
1740621600000,0.20419,0.20511,0.20385,0.20475,8020199.0
1740622500000,0.20475,0.20686,0.20461,0.20559,10413521.0
1740623400000,0.20559,0.20567,0.20408,0.20439,9255074.0
1740624300000,0.20439,0.2048,0.20332,0.20401,9807475.0
1740625200000,0.20401,0.2053,0.20345,0.20477,6015384.0
1740626100000,0.20477,0.20569,0.20458,0.20473,8202494.0
1740627000000,0.20473,0.20616,0.20459,0.20524,5927376.0
1740627900000,0.20524,0.20679,0.20511,0.20625,6918454.0
1740628800000,0.20625,0.2071,0.20542,0.20545,9506163.0
1740629700000,0.20545,0.20573,0.20439,0.20512,6623867.0
1740630600000,0.20512,0.20529,0.20413,0.20476,7260357.0
1740631500000,0.20476,0.20571,0.20424,0.20505,9666505.0
1740632400000,0.20505,0.20647,0.20474,0.2064,7670249.0
1740633300000,0.2064,0.20707,0.20567,0.20575,7330520.0
1740634200000,0.20575,0.20707,0.20572,0.20682,13244989.0
1740635100000,0.20682,0.20791,0.20682,0.20758,16398896.0
1740636000000,0.20758,0.20798,0.20688,0.20739,9037431.0
1740636900000,0.20739,0.20879,0.20718,0.2087,16063427.0
1740637800000,0.2087,0.21059,0.20868,0.20911,37552044.0
1740638700000,0.20911,0.20923,0.20851,0.20886,16837918.0
1740639600000,0.20886,0.20971,0.20826,0.20833,14973229.0
1740640500000,0.20833,0.20967,0.20827,0.20923,6890977.0
1740641400000,0.20923,0.21018,0.20858,0.20938,8246524.0
1740642300000,0.20938,0.20972,0.20858,0.2086,6863372.0
1740643200000,0.2086,0.20893,0.20825,0.20849,5352026.0
1740644100000,0.20849,0.20891,0.20739,0.20764,12305148.0
1740645000000,0.20764,0.20839,0.20731,0.20819,7624483.0
1740645900000,0.20819,0.20836,0.20738,0.20769,6080551.0
1740646800000,0.20769,0.20922,0.20767,0.20875,11977413.0
1740647700000,0.20875,0.20937,0.20783,0.20937,8723948.0
1740648600000,0.20937,0.21007,0.20911,0.20932,17129179.0
1740649500000,0.20932,0.20949,0.20866,0.20911,6685789.0
1740650400000,0.20911,0.21052,0.20871,0.20972,11025237.0
1740651300000,0.20972,0.21064,0.20955,0.21039,7019223.0
1740652200000,0.21039,0.21107,0.21003,0.21059,9702890.0
1740653100000,0.21059,0.21154,0.21011,0.21135,13568807.0
1740654000000,0.21135,0.2115,0.21034,0.21073,8396325.0
