ts,open,high,low,close,volume
1761373500000,3927.73,3930.43,3927.1,3929.25,1103.87
1761373800000,3929.25,3929.88,3926.46,3928.49,1681.97
1761374100000,3928.49,3928.49,3924.16,3926.02,845.93
1761374400000,3926.02,3930.0,3926.01,3929.98,765.8
1761374700000,3929.98,3933.0,3927.69,3929.81,2101.06
1761375000000,3929.81,3929.81,3927.0,3927.3,554.88
1761375300000,3927.3,3927.55,3925.56,3926.6,390.36
1761375600000,3926.6,3929.0,3926.09,3928.71,492.71
1761375900000,3928.71,3930.72,3926.83,3930.72,647.59
1761376200000,3930.72,3931.36,3929.21,3931.35,523.19
1761376500000,3931.35,3937.4,3930.6,3931.8,5023.94
1761376800000,3931.8,3941.45,3931.53,3939.62,6050.13
1761377100000,3939.62,3941.36,3936.01,3939.85,3671.2
1761377400000,3939.85,3959.25,3936.87,3939.03,19140.54
1761377700000,3939.03,3939.03,3927.82,3933.13,7094.27
1761378000000,3933.13,3933.56,3925.21,3928.65,4996.85
1761378300000,3928.65,3928.96,3923.5,3925.29,1483.94
1761378600000,3925.29,3929.75,3925.29,3927.8,2512.05
1761378900000,3927.8,3928.6,3925.99,3927.0,1816.33
1761379200000,3927.0,3928.99,3925.81,3927.86,3175.76
1761379500000,3927.86,3929.2,3925.78,3927.85,3910.45
1761379800000,3927.85,3933.07,3926.59,3932.74,1569.37
1761380100000,3932.74,3937.01,3932.12,3935.85,3314.28
1761380400000,3935.85,3940.8,3935.66,3938.55,4217.57
1761380700000,3938.55,3938.63,3935.0,3938.02,2000.19
1761381000000,3938.02,3939.66,3935.5,3938.66,562.57
1761381300000,3938.66,3942.0,3935.5,3935.78,4111.41
1761381600000,3935.78,3937.19,3935.0,3937.19,708.85
1761381900000,3937.19,3942.1,3936.67,3939.93,814.27
1761382200000,3939.93,3951.22,3939.79,3948.96,4221.93
1761382500000,3948.96,3955.0,3946.57,3952.55,5087.88
1761382800000,3952.55,3955.49,3946.46,3946.79,2834.77
1761383100000,3946.79,3953.25,3944.92,3951.77,3251.43
1761383400000,3951.77,3954.81,3948.94,3952.84,2254.85
1761383700000,3952.84,3953.57,3946.44,3950.76,2007.44
1761384000000,3950.76,3952.0,3947.63,3948.0,932.55
1761384300000,3948.0,3948.94,3942.8,3947.88,5143.72
1761384600000,3947.88,3948.19,3942.87,3944.45,1079.93
1761384900000,3944.45,3951.66,3944.45,3950.21,1089.19
1761385200000,3950.21,3950.88,3947.32,3949.7,448.53
1761385500000,3949.7,3949.91,3945.91,3946.07,842.04
1761385800000,3946.07,3946.07,3938.5,3941.99,4533.48
1761386100000,3941.99,3943.43,3938.62,3941.28,2641.27
1761386400000,3941.28,3944.66,3940.05,3940.05,708.01
1761386700000,3940.05,3940.77,3934.33,3937.49,2932.21
1761387000000,3937.49,3939.8,3930.0,3932.61,2830.0
1761387300000,3932.61,3936.4,3932.6,3936.02,1592.14
1761387600000,3936.02,3940.96,3934.54,3940.41,1045.82
1761387900000,3940.41,3940.41,3933.56,3935.61,1424.83
1761388200000,3935.61,3940.17,3932.58,3939.39,1039.67
1761388500000,3939.39,3945.88,3937.5,3941.83,3820.14
1761388800000,3941.83,3946.06,3941.48,3942.69,1334.29
1761389100000,3942.69,3945.48,3941.83,3942.68,1047.99
1761389400000,3942.68,3943.09,3939.04,3941.12,1247.14
1761389700000,3941.12,3943.27,3941.0,3941.01,497.29
1761390000000,3941.01,3941.89,3936.88,3941.42,1660.68
1761390300000,3941.42,3944.38,3940.67,3941.86,1745.08
1761390600000,3941.86,3942.74,3939.01,3939.01,327.38
1761390900000,3939.01,3941.07,3938.25,3939.99,458.97
1761391200000,3939.99,3940.55,3938.21,3940.28,429.0
1761391500000,3940.28,3942.99,3940.12,3942.46,639.62
1761391800000,3942.46,3943.83,3940.26,3940.62,561.18
1761392100000,3940.62,3943.16,3940.21,3940.33,731.44
1761392400000,3940.33,3941.21,3937.74,3940.08,606.32
1761392700000,3940.08,3941.36,3938.75,3941.36,404.11
1761393000000,3941.36,3942.92,3940.6,3941.67,541.17
1761393300000,3941.67,3942.0,3938.7,3938.71,822.5
1761393600000,3938.71,3943.49,3938.0,3943.2,483.58
1761393900000,3943.2,3949.78,3940.61,3948.79,1165.76
1761394200000,3948.79,3953.13,3948.08,3949.81,3251.38
1761394500000,3949.81,3950.45,3946.0,3949.74,1105.38
1761394800000,3949.74,3951.6,3948.8,3950.97,2197.75
1761395100000,3950.97,3952.76,3949.49,3952.15,907.24
1761395400000,3952.15,3952.15,3945.36,3946.97,2212.98
1761395700000,3946.97,3950.83,3946.97,3948.61,1647.74
1761396000000,3948.61,3949.59,3947.15,3949.59,738.91
1761396300000,3949.59,3955.0,3948.25,3952.82,2964.35
1761396600000,3952.82,3953.69,3944.1,3945.41,2184.84
1761396900000,3945.41,3952.26,3944.4,3951.98,1249.17
1761397200000,3951.98,3956.89,3946.0,3946.45,3590.28
1761397500000,3946.45,3947.33,3935.36,3942.0,6310.79
1761397800000,3942.0,3942.1,3938.99,3941.14,1418.79
