ts,open,high,low,close,volume
1740614400000,15.246,15.453,15.044,15.296,902843.0
1740628800000,15.296,15.681,15.116,15.593,646214.4
1740643200000,15.593,15.774,15.429,15.61,808491.7
1740657600000,15.61,15.747,15.18,15.382,1243755.0
1740672000000,15.382,15.495,15.005,15.086,755713.5
1740686400000,15.086,15.21,14.765,15.096,834922.2
1740700800000,15.096,15.187,13.813,13.869,2922497.8
1740715200000,13.869,13.982,13.475,13.661,2289606.9
1740729600000,13.661,14.047,13.441,13.76,1199113.9
1740744000000,13.76,14.713,13.664,14.602,1514821.7
1740758400000,14.602,14.846,14.476,14.758,800658.3
1740772800000,14.758,14.866,14.582,14.813,563174.6
1740787200000,14.813,14.946,14.552,14.801,577478.4
1740801600000,14.801,15.0,14.51,14.535,839773.7
1740816000000,14.535,14.852,14.391,14.439,773396.5
1740830400000,14.439,14.546,14.209,14.471,819686.4
1740844800000,14.471,14.908,14.411,14.88,749413.2
1740859200000,14.88,15.128,14.74,14.751,829656.3
1740873600000,14.751,14.907,14.648,14.85,533736.5
1740888000000,14.85,14.92,14.721,14.742,437253.7
1740902400000,14.742,14.9,14.671,14.76,590089.2
1740916800000,14.76,15.521,14.405,15.264,2241654.5
1740931200000,15.264,17.362,15.243,16.95,5699478.9
1740945600000,16.95,17.548,16.891,17.421,2227949.8
1740960000000,17.421,17.5,16.552,16.8,1518914.8
1740974400000,16.8,16.974,16.089,16.489,1233669.4
1740988800000,16.489,16.512,15.933,16.311,1280135.0
1741003200000,16.311,16.878,16.088,16.253,2540731.6
1741017600000,16.253,16.437,14.675,14.74,4000127.2
1741032000000,14.74,14.922,14.364,14.443,1823134.5
1741046400000,14.443,14.591,13.385,13.757,4057071.0
1741060800000,13.757,14.104,13.714,13.788,1153022.5
1741075200000,13.788,13.968,13.661,13.781,899228.7
1741089600000,13.781,14.231,13.316,13.82,3498151.6
1741104000000,13.82,14.52,13.048,14.5,3240752.5
1741118400000,14.5,15.344,14.301,14.852,3053033.5
1741132800000,14.852,15.091,14.623,14.816,930297.0
1741147200000,14.816,15.451,14.814,15.438,1108144.4
1741161600000,15.438,16.491,15.351,16.056,3016934.1
1741176000000,16.056,16.174,15.544,15.681,2231048.1
1741190400000,15.681,16.423,15.565,16.337,2361895.6
1741204800000,16.337,16.586,16.261,16.415,1206655.4
1741219200000,16.415,17.339,16.372,17.214,1905778.8
1741233600000,17.214,17.377,16.859,16.896,1457790.2
1741248000000,16.896,17.723,16.836,17.487,2271549.2
1741262400000,17.487,17.539,16.602,17.235,3036375.8
1741276800000,17.235,17.34,16.53,16.803,1961117.6
1741291200000,16.803,17.29,16.76,17.039,1727088.0
1741305600000,17.039,17.226,15.855,16.163,4070958.9
1741320000000,16.163,17.174,16.144,17.171,1733980.5
1741334400000,17.171,17.37,16.787,17.135,1668638.8
1741348800000,17.135,17.519,16.758,16.91,3310193.1
1741363200000,16.91,16.985,16.125,16.63,2667982.1
1741377600000,16.63,16.759,15.725,15.926,2898833.2
1741392000000,15.926,16.022,15.422,15.678,1508572.0
1741406400000,15.678,15.847,15.515,15.537,683606.9
1741420800000,15.537,15.56,15.237,15.325,1135405.7
1741435200000,15.325,15.578,15.175,15.299,766617.2
1741449600000,15.299,15.565,15.106,15.531,784756.8
1741464000000,15.531,15.546,15.181,15.255,587551.7
1741478400000,15.255,15.351,15.007,15.253,666834.8
1741492800000,15.253,15.345,15.077,15.123,469379.5
1741507200000,15.123,15.123,14.622,14.687,966053.1
1741521600000,14.687,14.698,14.241,14.298,1328176.7
1741536000000,14.298,14.365,13.632,13.978,2550894.2
1741550400000,13.978,14.117,13.588,13.794,1292032.5
1741564800000,13.794,14.217,13.642,14.126,1649410.5
1741579200000,14.126,14.325,13.969,14.082,1151128.4
1741593600000,14.082,14.555,13.812,14.249,2115440.6
1741608000000,14.249,14.351,13.234,13.472,2990924.8
1741622400000,13.472,13.536,12.399,12.803,3209155.0
1741636800000,12.803,12.995,12.576,12.646,1294118.2
1741651200000,12.646,12.821,11.825,12.424,3081158.9
1741665600000,12.424,12.943,12.389,12.715,1555936.6
1741680000000,12.715,13.176,12.644,13.036,1643251.0
1741694400000,13.036,13.196,12.354,12.981,3758150.4
1741708800000,12.981,13.641,12.786,13.587,1939484.1
1741723200000,13.587,13.637,13.077,13.127,1102107.0
1741737600000,13.127,13.48,12.815,12.831,1442056.9
1741752000000,12.831,13.119,12.639,13.075,1326003.1
1741766400000,13.075,13.406,12.989,13.361,1644726.6
1741780800000,13.361,13.799,12.766,13.06,2935302.9
1741795200000,13.06,13.365,13.003,13.265,1737550.2
1741809600000,13.265,13.513,13.196,13.479,843432.0
1741824000000,13.479,13.534,13.221,13.277,1095240.7
1741838400000,13.277,13.326,13.039,13.124,1141335.7
1741852800000,13.124,13.489,12.969,13.436,1607762.7
1741867200000,13.436,13.597,12.963,13.018,2179766.0
1741881600000,13.018,13.055,12.705,12.82,1465522.9
1741896000000,12.82,13.207,12.727,13.033,858955.8
1741910400000,13.033,13.351,12.981,13.26,738013.2
1741924800000,13.26,13.438,13.235,13.337,733356.2
1741939200000,13.337,14.418,13.303,14.089,12602744.9
1741953600000,14.089,14.668,13.936,14.36,5637081.3
1741968000000,14.36,14.672,13.899,13.926,4235594.5
1741982400000,13.926,13.948,13.595,13.659,3417343.4
1741996800000,13.659,14.075,13.617,14.006,1607231.9
1742011200000,14.006,14.245,13.708,13.79,2018732.6
1742025600000,13.79,14.082,13.731,14.034,1303408.4
1742040000000,14.034,14.128,13.893,14.03,1347223.1
1742054400000,14.03,14.15,13.944,14.047,1074471.8
1742068800000,14.047,14.157,13.991,14.007,739605.0
1742083200000,14.007,14.03,13.762,13.971,744851.7
1742097600000,13.971,14.17,13.967,14.146,660872.6
1742112000000,14.146,14.181,13.475,13.513,1754811.8
1742126400000,13.513,13.652,13.319,13.472,1297343.4
1742140800000,13.472,13.79,13.353,13.403,1287133.1
1742155200000,13.403,13.507,13.203,13.359,1045171.7
1742169600000,13.359,13.745,13.334,13.682,802012.3
1742184000000,13.682,13.827,13.474,13.767,1080962.6
1742198400000,13.767,13.884,13.658,13.79,931979.0
1742212800000,13.79,13.944,13.533,13.755,2561479.8
1742227200000,13.755,14.203,13.645,14.113,1580414.6
1742241600000,14.113,14.234,13.953,14.019,827100.8
1742256000000,14.019,14.097,13.73,13.817,1363660.6
1742270400000,13.817,14.215,13.79,14.13,2048555.1
1742284800000,14.13,14.27,13.68,13.705,1773460.0
1742299200000,13.705,13.839,13.524,13.586,1677006.0
1742313600000,13.586,13.748,13.443,13.705,1237433.8
1742328000000,13.705,13.944,13.577,13.904,1206682.6
