ts,open,high,low,close,volume
1740614400000,135.31,139.05,134.89,138.54,1662361.1
1740628800000,138.54,142.9,137.0,140.96,1419168.5
1740643200000,140.96,142.47,139.21,140.46,1350467.3
1740657600000,140.46,141.24,136.22,139.57,2709070.9
1740672000000,139.57,140.1,135.57,136.25,1526721.8
1740686400000,136.25,138.22,134.65,137.62,1565003.1
1740700800000,137.62,137.93,127.1,127.59,4670267.6
1740715200000,127.59,129.54,125.47,128.47,4310585.6
1740729600000,128.47,134.63,127.74,133.42,2558924.8
1740744000000,133.42,147.79,132.86,145.63,6175763.5
1740758400000,145.63,147.23,143.65,146.25,2123644.4
1740772800000,146.25,148.69,144.57,148.1,1375149.3
1740787200000,148.1,151.1,145.46,145.66,2492372.2
1740801600000,145.66,147.15,142.16,142.46,1714725.0
1740816000000,142.46,144.2,139.51,140.32,1889003.7
1740830400000,140.32,141.65,138.51,140.32,1597890.2
1740844800000,140.32,141.48,138.47,140.47,1321980.0
1740859200000,140.47,143.78,139.79,143.57,1198657.2
1740873600000,143.57,146.07,142.7,143.79,1716305.4
1740888000000,143.79,145.11,142.18,143.71,744123.9
1740902400000,143.71,144.87,142.41,143.47,812397.8
1740916800000,143.47,163.64,140.01,157.47,7961150.1
1740931200000,157.47,180.26,157.46,172.18,11798452.1
1740945600000,172.18,179.39,171.58,178.74,3134358.7
1740960000000,178.74,179.56,168.1,169.89,2366692.3
1740974400000,169.89,170.59,159.82,162.21,2640758.3
1740988800000,162.21,163.31,156.75,161.05,2575813.3
1741003200000,161.05,167.06,153.81,157.77,5652681.0
1741017600000,157.77,159.58,139.45,141.7,8129400.1
1741032000000,141.7,144.88,139.13,142.03,3498580.4
1741046400000,142.03,144.99,132.24,136.27,4566795.0
1741060800000,136.27,139.55,135.55,135.95,1914670.1
1741075200000,135.95,138.5,134.54,136.88,1923423.3
1741089600000,136.88,143.24,132.56,138.56,6918617.3
1741104000000,138.56,144.7,130.36,143.05,5112696.0
1741118400000,143.05,146.79,141.5,144.69,2314018.7
1741132800000,144.69,145.52,141.64,141.75,1317843.7
1741147200000,141.75,144.04,140.65,142.8,1108756.6
1741161600000,142.8,149.64,142.65,147.05,2066143.7
1741176000000,147.05,149.18,140.22,141.57,2922686.0
1741190400000,141.57,146.39,140.09,144.7,2232144.9
1741204800000,144.7,146.73,143.6,146.17,1051271.5
1741219200000,146.17,150.59,144.42,148.64,1463755.3
1741233600000,148.64,150.56,147.46,148.54,1172666.7
1741248000000,148.54,152.82,148.21,151.62,1671744.5
1741262400000,151.62,151.82,144.9,148.95,2666911.1
1741276800000,148.95,149.36,142.3,143.51,1643493.4
1741291200000,143.51,145.87,143.0,143.22,1144317.0
1741305600000,143.22,145.49,134.93,140.7,3580245.3
1741320000000,140.7,144.55,140.51,144.22,1030361.1
1741334400000,144.22,146.14,142.52,143.47,1417765.6
1741348800000,143.47,148.19,141.63,144.83,3502216.6
1741363200000,144.83,150.87,141.22,146.28,3765195.4
1741377600000,146.28,147.61,137.34,139.33,3412222.9
1741392000000,139.33,140.99,137.71,139.58,1073918.5
1741406400000,139.58,140.89,138.21,138.64,784845.2
1741420800000,138.64,139.13,136.52,137.49,925807.0
1741435200000,137.49,138.7,135.93,137.13,903441.7
1741449600000,137.13,138.84,135.18,138.33,1013258.5
1741464000000,138.33,138.49,136.26,136.93,538777.3
1741478400000,136.93,138.44,136.43,137.84,434568.5
1741492800000,137.84,139.85,137.6,139.58,703139.2
1741507200000,139.58,139.73,135.53,136.23,1167110.8
1741521600000,136.23,136.38,129.75,130.11,2381745.6
1741536000000,130.11,131.52,125.72,129.09,3336323.0
1741550400000,129.09,130.5,125.34,126.42,2165335.6
1741564800000,126.42,129.04,123.85,126.5,2036936.9
1741579200000,126.5,129.09,126.35,128.04,1417015.8
1741593600000,128.04,131.53,125.84,129.85,2501774.5
1741608000000,129.85,130.84,120.11,121.86,4851436.0
1741622400000,121.86,122.25,115.36,119.65,5070292.6
1741636800000,119.65,120.21,117.48,118.27,1771473.4
1741651200000,118.27,121.81,112.0,119.89,4273991.0
1741665600000,119.89,123.97,119.65,123.01,1845415.4
1741680000000,123.01,125.77,122.9,124.65,1478623.6
1741694400000,124.65,126.18,118.52,124.92,5096264.2
1741708800000,124.92,128.35,122.75,128.04,3125581.3
1741723200000,128.04,128.17,125.01,125.27,1224137.8
1741737600000,125.27,126.94,122.36,122.46,1311255.1
1741752000000,122.46,123.42,121.14,123.1,1573212.4
1741766400000,123.1,126.75,122.78,126.67,1810314.1
1741780800000,126.67,131.28,122.96,124.47,4235854.4
1741795200000,124.47,126.26,123.22,124.93,2425863.8
1741809600000,124.93,127.11,123.84,126.53,1426543.5
1741824000000,126.53,127.37,124.62,124.88,1158632.2
1741838400000,124.88,125.27,122.92,124.19,1379317.9
1741852800000,124.19,128.04,123.5,126.8,1634654.6
1741867200000,126.8,128.79,123.47,124.27,2781830.6
1741881600000,124.27,124.33,120.95,121.39,1494713.0
1741896000000,121.39,124.31,120.66,123.31,976432.8
1741910400000,123.31,125.42,122.86,124.45,983703.1
1741924800000,124.45,125.63,124.35,124.61,504235.7
1741939200000,124.61,126.52,124.55,126.09,841556.3
1741953600000,126.09,133.71,125.37,132.05,4009148.0
1741968000000,132.05,134.63,130.76,134.2,1793479.1
1741982400000,134.2,136.1,132.23,133.46,1601714.4
1741996800000,133.46,135.23,132.7,134.97,891434.4
1742011200000,134.97,135.48,132.66,132.86,852634.9
1742025600000,132.86,133.61,132.36,133.3,698480.9
1742040000000,133.3,135.76,133.02,135.05,1157344.9
1742054400000,135.05,136.47,133.44,134.4,1079260.8
1742068800000,134.4,136.44,134.25,135.8,687487.7
1742083200000,135.8,136.66,134.01,135.38,961789.1
1742097600000,135.38,136.14,133.77,134.57,768803.0
1742112000000,134.57,134.87,129.58,129.85,1733823.0
1742126400000,129.85,130.74,127.33,128.68,2212954.2
1742140800000,128.68,131.2,125.87,126.84,2350207.2
1742155200000,126.84,127.68,125.1,126.02,998389.4
1742169600000,126.02,129.15,125.77,128.87,1293151.4
1742184000000,128.87,129.43,126.4,129.17,1133263.8
1742198400000,129.17,129.54,128.33,129.08,903424.6
1742212800000,129.08,130.08,125.41,127.46,2850623.3
1742227200000,127.46,130.58,126.58,129.75,1816500.6
1742241600000,129.75,129.87,127.66,127.93,951384.8
1742256000000,127.93,128.1,123.43,124.05,1870792.6
1742270400000,124.05,125.16,123.07,125.09,1552516.3
1742284800000,125.09,125.88,123.12,123.45,1025634.7
1742299200000,123.45,123.72,121.56,122.49,1821269.3
1742313600000,122.49,124.45,122.34,124.14,1327891.0
1742328000000,124.14,125.68,123.44,125.25,663042.0
1742342400000,125.25,126.67,124.07,126.41,1019828.2
1742356800000,126.41,126.81,125.33,125.66,895140.4
1742371200000,125.66,129.47,125.63,128.6,1391009.4
