ts,open,high,low,close,volume
1772043000000,68718.4,68905.1,68700.1,68828.8,856.307
1772043300000,68828.8,68999.2,68669.6,68777.7,1517.558
1772043600000,68777.7,69066.1,68759.5,68906.6,958.116
1772043900000,68906.6,69522.6,68887.9,69313.6,3526.886
1772044200000,69313.6,69400.0,69167.3,69276.2,1067.968
1772044500000,69276.2,69499.3,69276.2,69414.7,879.364
1772044800000,69414.7,69545.1,69360.5,69443.0,642.066
1772045100000,69443.0,69489.2,69250.0,69275.1,418.264
1772045400000,69275.1,69468.0,69224.0,69279.6,380.593
1772045700000,69279.6,69361.2,69250.0,69301.2,321.92
1772046000000,69301.2,69387.8,69023.4,69099.9,871.571
1772046300000,69099.9,69195.1,68951.4,69006.9,1074.032
1772046600000,69006.9,69033.0,68751.2,68890.8,1042.779
1772046900000,68890.8,68986.9,68820.9,68852.5,369.755
1772047200000,68852.5,69139.0,68851.9,69081.6,438.592
1772047500000,69081.6,69081.6,68864.1,68947.1,317.544
1772047800000,68947.1,68980.0,68754.1,68782.4,302.532
1772048100000,68782.4,68919.5,68772.7,68835.7,193.35
1772048400000,68835.7,68890.7,68788.6,68862.2,215.303
1772048700000,68862.2,69055.9,68816.3,69052.3,436.632
1772049000000,69052.3,69071.1,68940.5,69011.3,363.496
1772049300000,69011.3,69062.4,68958.0,69008.6,211.599
1772049600000,69008.6,69066.3,68851.8,68896.5,339.832
1772049900000,68896.5,68941.8,68851.7,68876.9,121.824
1772050200000,68876.9,68894.2,68577.3,68615.4,1154.208
1772050500000,68615.4,68744.2,68615.4,68740.0,279.413
1772050800000,68740.0,68795.0,68693.5,68743.2,186.767
1772051100000,68743.2,68856.3,68734.3,68769.5,246.084
1772051400000,68769.5,69173.1,68741.5,69117.6,1012.453
1772051700000,69117.6,69117.7,68964.0,69057.8,359.049
1772052000000,69057.8,69135.1,69045.0,69090.5,257.778
1772052300000,69090.5,69349.8,69066.1,69217.8,529.517
1772052600000,69217.8,69321.8,69110.0,69184.6,375.046
1772052900000,69184.6,69224.0,69077.8,69096.5,482.616
1772053200000,69096.5,69180.1,69021.0,69101.9,251.713
1772053500000,69101.9,69195.0,69069.2,69137.5,134.798
1772053800000,69137.5,69137.6,68888.3,68949.9,230.337
1772054100000,68949.9,69034.0,68899.6,68948.5,222.618
1772054400000,68948.5,69032.9,68900.2,69001.9,243.192
1772054700000,69001.9,69006.4,68768.0,68773.3,311.816
1772055000000,68773.3,69240.0,68717.1,69236.6,1407.861
1772055300000,69236.6,69989.8,69190.1,69354.9,4756.182
1772055600000,69354.9,69416.1,69100.8,69187.2,866.21
1772055900000,69187.2,69187.2,68772.5,68973.4,1082.884
1772056200000,68973.4,69093.6,68910.0,68964.9,305.5
1772056500000,68964.9,68999.1,68763.7,68875.8,362.124
1772056800000,68875.8,69064.2,68831.4,69007.7,390.756
1772057100000,69007.7,69018.5,68899.9,68994.1,192.737
1772057400000,68994.1,69148.2,68994.0,69043.5,241.677
1772057700000,69043.5,69059.6,68821.5,68893.4,238.292
1772058000000,68893.4,68900.0,68824.4,68877.9,179.15
1772058300000,68877.9,68891.7,68788.2,68843.1,185.638
1772058600000,68843.1,68872.3,68704.2,68789.5,281.823
1772058900000,68789.5,68853.2,68591.0,68630.8,413.525
1772059200000,68630.8,68630.8,68240.0,68391.6,1451.875
1772059500000,68391.6,68489.0,68377.8,68405.5,245.993
1772059800000,68405.5,68405.5,68022.0,68108.8,1122.015
1772060100000,68108.8,68466.4,68095.7,68399.1,528.354
1772060400000,68399.1,68442.0,68171.8,68347.7,299.809
1772060700000,68347.7,68663.1,68308.4,68560.9,490.965
1772061000000,68560.9,68579.5,68455.3,68482.1,206.721
1772061300000,68482.1,68489.7,68266.4,68278.1,244.35
1772061600000,68278.1,68315.0,68225.1,68268.6,235.095
1772061900000,68268.6,68336.6,68238.5,68243.9,113.044
1772062200000,68243.9,68265.2,68044.0,68095.5,344.862
1772062500000,68095.5,68245.8,67945.2,67983.6,442.242
1772062800000,67983.6,68004.1,67563.6,67667.0,1540.626
1772063100000,67667.0,67774.0,67606.9,67674.8,352.521
1772063400000,67674.8,68013.8,67673.8,67926.7,1046.097
1772063700000,67926.7,67969.5,67876.7,67958.3,266.167
1772064000000,67958.3,67958.3,67688.0,67772.8,899.465
1772064300000,67772.8,68085.8,67760.0,68071.8,324.595
1772064600000,68071.8,68145.0,67967.4,68126.9,310.922
1772064900000,68126.9,68296.8,68081.8,68151.0,528.86
1772065200000,68151.0,68418.0,68151.0,68346.0,1118.973
1772065500000,68346.0,68366.8,68240.7,68249.8,234.664
1772065800000,68249.8,68471.1,68226.4,68455.6,840.497
1772066100000,68455.6,68506.9,68109.5,68125.5,541.641
1772066400000,68125.5,68210.0,67905.4,68175.7,940.268
1772066700000,68175.7,68243.7,68121.7,68196.6,182.789
1772067000000,68196.6,68323.0,68094.1,68297.2,213.878
1772067300000,68297.2,68350.9,68235.2,68300.1,95.5
1772067600000,68300.1,68482.3,68181.3,68457.3,174.054
1772067900000,68457.3,68697.3,68363.3,68524.3,791.856
1772068200000,68524.3,68586.3,68465.3,68538.3,211.592
1772068500000,68538.3,68578.1,68435.0,68495.7,169.252
1772068800000,68495.7,68531.0,68409.9,68509.9,94.786
1772069100000,68509.9,68512.7,68336.7,68362.9,94.256
1772069400000,68362.9,68362.9,68190.9,68304.5,235.718
1772069700000,68304.5,68393.4,68287.6,68340.3,186.646
1772070000000,68340.3,68532.6,68312.1,68322.8,336.191
1772070300000,68322.8,68370.3,68253.1,68334.7,183.351
1772070600000,68334.7,68367.1,68198.1,68211.5,345.858
1772070900000,68211.5,68290.0,68174.1,68220.1,182.171
1772071200000,68220.1,68239.1,67907.8,67955.6,456.621
