ts,open,high,low,close,volume
1761364800000,3919.8,3959.25,3917.65,3927.0,114995.11
1761379200000,3927.0,3955.49,3925.78,3938.71,89200.71
1761393600000,3938.71,3956.89,3922.05,3931.8,83232.02
1761408000000,3931.8,3968.59,3926.08,3956.33,73409.48
1761422400000,3956.33,3963.89,3934.26,3952.01,48384.53
1761436800000,3952.01,3960.41,3913.4,3930.51,100035.41
1761451200000,3930.51,3955.46,3927.21,3950.24,44267.18
1761465600000,3950.24,4055.62,3949.17,4044.0,272213.8
1761480000000,4044.0,4100.0,4040.0,4073.72,285649.27
1761494400000,4073.72,4079.58,4045.4,4066.65,89908.01
1761508800000,4066.65,4179.42,4051.17,4157.96,280143.51
1761523200000,4157.96,4224.29,4147.42,4203.19,260107.01
1761537600000,4203.19,4254.61,4192.58,4200.01,237265.33
1761552000000,4200.01,4200.37,4130.36,4160.81,287357.89
1761566400000,4160.81,4186.3,4121.24,4172.0,292100.87
1761580800000,4172.0,4233.02,4171.54,4191.61,256545.8
1761595200000,4191.61,4194.06,4092.55,4117.9,300012.7
1761609600000,4117.9,4140.59,4065.0,4091.99,224224.33
1761624000000,4091.99,4126.07,4064.0,4115.01,160062.49
1761638400000,4115.01,4134.64,4101.31,4110.08,120722.02
1761652800000,4110.08,4174.83,4067.2,4094.86,465644.7
1761667200000,4094.86,4149.88,4024.0,4037.06,317431.3
1761681600000,4037.06,4040.2,3929.2,3976.81,437676.38
1761696000000,3976.81,4007.67,3961.57,3995.9,136730.61
1761710400000,3995.9,4037.12,3993.61,4023.15,123622.97
1761724800000,4023.15,4025.68,3981.58,4008.93,142636.91
1761739200000,4008.93,4027.99,3938.5,3950.0,304925.31
1761753600000,3950.0,4017.99,3834.28,3902.91,791732.5
1761768000000,3902.91,3963.74,3870.85,3900.65,211606.5
1761782400000,3900.65,3947.67,3882.56,3932.52,147796.67
1761796800000,3932.52,3944.32,3833.78,3938.71,457425.96
1761811200000,3938.71,3938.98,3874.27,3878.7,175622.56
1761825600000,3878.7,3882.92,3755.49,3771.18,516069.73
1761840000000,3771.18,3801.3,3675.55,3684.05,467341.08
1761854400000,3684.05,3806.0,3677.0,3803.06,218064.75
1761868800000,3803.06,3859.91,3794.25,3827.89,237275.78
1761883200000,3827.89,3872.97,3818.92,3829.5,192390.72
1761897600000,3829.5,3884.34,3816.33,3872.86,160967.62
1761912000000,3872.86,3887.7,3828.36,3857.73,285704.43
1761926400000,3857.73,3905.45,3801.56,3884.3,347147.48
1761940800000,3884.3,3891.48,3837.59,3845.8,75318.83
1761955200000,3845.8,3862.69,3827.09,3859.47,78724.66
1761969600000,3859.47,3867.34,3850.01,3859.42,56008.82
1761984000000,3859.42,3881.5,3858.72,3876.35,59593.29
1761998400000,3876.35,3901.47,3856.0,3893.19,91599.8
1762012800000,3893.19,3908.0,3860.43,3877.99,91436.85
1762027200000,3877.99,3891.08,3860.99,3871.8,60492.76
1762041600000,3871.8,3885.87,3860.1,3878.78,37188.64
1762056000000,3878.78,3917.01,3873.67,3904.34,98498.03
1762070400000,3904.34,3909.4,3843.64,3888.13,186617.39
1762084800000,3888.13,3892.77,3836.45,3851.15,142656.68
1762099200000,3851.15,3865.37,3837.07,3854.46,66553.14
1762113600000,3854.46,3915.43,3841.8,3905.15,134725.28
1762128000000,3905.15,3914.02,3723.88,3733.87,402963.25
1762142400000,3733.87,3763.67,3680.0,3712.17,310810.79
1762156800000,3712.17,3739.53,3658.0,3709.31,353461.93
1762171200000,3709.31,3747.76,3578.57,3586.82,642966.09
1762185600000,3586.82,3681.79,3561.0,3629.46,428371.82
1762200000000,3629.46,3635.0,3554.05,3601.83,279186.53
1762214400000,3601.83,3653.68,3564.08,3640.41,192659.59
