ts,open,high,low,close,volume
1740528900000,15.276,15.314,15.187,15.206,42788.1
1740529800000,15.206,15.234,15.123,15.125,56420.2
1740530700000,15.125,15.175,15.091,15.099,28878.1
1740531600000,15.099,15.182,15.09,15.132,33589.0
1740532500000,15.132,15.199,15.091,15.182,22736.7
1740533400000,15.182,15.233,15.173,15.184,20477.8
1740534300000,15.184,15.3,15.182,15.25,25138.6
1740535200000,15.25,15.263,15.147,15.23,37518.4
1740536100000,15.23,15.296,15.204,15.265,19539.9
1740537000000,15.265,15.349,15.219,15.282,41773.3
1740537900000,15.282,15.489,15.281,15.444,41175.7
1740538800000,15.444,15.531,15.432,15.491,37694.3
1740539700000,15.491,15.548,15.447,15.465,28092.1
1740540600000,15.465,15.477,15.397,15.407,38243.7
1740541500000,15.407,15.448,15.358,15.379,31524.7
1740542400000,15.379,15.398,15.327,15.376,29555.3
1740543300000,15.376,15.5,15.332,15.491,32228.0
1740544200000,15.491,15.515,15.416,15.473,29328.5
1740545100000,15.473,15.489,15.399,15.401,25156.5
1740546000000,15.401,15.458,15.372,15.411,36231.1
1740546900000,15.411,15.43,15.333,15.372,31786.7
1740547800000,15.372,15.378,15.28,15.32,41670.4
1740548700000,15.32,15.329,15.205,15.209,34956.3
1740549600000,15.209,15.281,15.187,15.195,39267.1
1740550500000,15.195,15.306,15.192,15.303,27969.7
1740551400000,15.303,15.338,15.229,15.286,27287.4
1740552300000,15.286,15.385,15.286,15.371,20887.7
1740553200000,15.371,15.417,15.332,15.393,32664.6
1740554100000,15.393,15.396,15.331,15.359,29203.8
1740555000000,15.359,15.36,15.153,15.219,63809.1
1740555900000,15.219,15.321,15.194,15.293,35330.3
1740556800000,15.293,15.339,15.141,15.203,52741.4
1740557700000,15.203,15.25,15.175,15.249,15098.0
1740558600000,15.249,15.265,15.154,15.156,93115.6
1740559500000,15.156,15.225,15.146,15.207,23960.5
1740560400000,15.207,15.298,15.198,15.267,41899.3
1740561300000,15.267,15.349,15.267,15.286,39279.3
1740562200000,15.286,15.468,15.269,15.448,46846.2
1740563100000,15.448,15.496,15.401,15.474,49066.8
1740564000000,15.474,15.477,15.394,15.447,30834.3
1740564900000,15.447,15.482,15.395,15.47,38203.2
1740565800000,15.47,15.531,15.422,15.491,39253.9
1740566700000,15.491,15.557,15.444,15.523,77887.1
1740567600000,15.523,15.614,15.511,15.613,178557.4
1740568500000,15.613,15.638,15.562,15.614,233182.7
1740569400000,15.614,15.621,15.435,15.493,214627.1
1740570300000,15.493,15.588,15.456,15.516,65107.9
1740571200000,15.516,15.585,15.474,15.583,53073.5
1740572100000,15.583,15.624,15.483,15.556,48412.2
1740573000000,15.556,15.566,15.364,15.381,79723.5
1740573900000,15.381,15.394,15.174,15.283,134213.7
1740574800000,15.283,15.331,15.221,15.27,81155.5
1740575700000,15.27,15.333,15.224,15.31,92508.7
1740576600000,15.31,15.385,15.298,15.359,55927.9
1740577500000,15.359,15.373,15.18,15.217,64266.5
1740578400000,15.217,15.222,15.02,15.124,181238.8
1740579300000,15.124,15.171,14.967,15.048,104117.4
1740580200000,15.048,15.371,14.99,15.344,247832.6
1740581100000,15.344,15.55,15.305,15.485,152199.1
1740582000000,15.485,15.77,15.48,15.702,175171.0
1740582900000,15.702,15.712,15.491,15.515,126943.4
1740583800000,15.515,15.685,15.515,15.595,56410.1
1740584700000,15.595,15.662,15.493,15.533,67410.4
1740585600000,15.533,15.602,15.384,15.423,100101.2
1740586500000,15.423,15.484,15.258,15.471,111151.1
1740587400000,15.471,15.551,15.428,15.458,69712.4
1740588300000,15.458,15.497,15.37,15.46,54227.0
1740589200000,15.46,15.519,15.388,15.449,42161.2
1740590100000,15.449,15.458,15.281,15.356,57638.7
1740591000000,15.356,15.388,15.113,15.213,109304.7
1740591900000,15.213,15.241,15.015,15.076,123488.1
1740592800000,15.076,15.198,15.056,15.127,78137.1
1740593700000,15.127,15.131,14.843,14.848,116771.3
1740594600000,14.848,14.989,14.68,14.961,395602.9
1740595500000,14.961,15.05,14.682,14.787,229980.4
1740596400000,14.787,14.941,14.726,14.917,96147.0
1740597300000,14.917,14.996,14.74,14.77,97878.1
1740598200000,14.77,14.898,14.748,14.891,122239.2
1740599100000,14.891,14.969,14.848,14.878,58170.9
1740600000000,14.878,15.054,14.821,14.851,108032.2
1740600900000,14.851,15.002,14.657,14.937,222854.7
1740601800000,14.937,15.172,14.896,15.137,134972.6
1740602700000,15.137,15.297,15.132,15.254,145819.4
1740603600000,15.254,15.326,15.132,15.255,123233.9
1740604500000,15.255,15.402,15.138,15.263,254130.0
1740605400000,15.263,15.271,15.13,15.163,93393.8
1740606300000,15.163,15.373,15.108,15.371,65960.6
1740607200000,15.371,15.699,15.361,15.579,227209.8
1740608100000,15.579,15.586,15.452,15.458,67830.3
1740609000000,15.458,15.514,15.409,15.432,30243.5
1740609900000,15.432,15.57,15.388,15.44,37707.7
1740610800000,15.44,15.526,15.346,15.352,53339.3
1740611700000,15.352,15.37,15.25,15.296,41486.8
1740612600000,15.296,15.296,15.217,15.225,35650.5
1740613500000,15.225,15.263,15.181,15.246,21054.5
1740614400000,15.246,15.318,15.232,15.242,49022.6
1740615300000,15.242,15.318,15.156,15.202,35500.2
1740616200000,15.202,15.254,15.099,15.245,156837.6
1740617100000,15.245,15.292,15.181,15.182,61371.7
