ts_entry,ts_exit,symbol,setup,side,entry,sl,tp,pnl_usdt,risk_usdt,r_multiple,exit_reason,partial
2026-01-29T08:15:00+00:00,2026-01-29T08:25:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87916.11995000001,88433.44672436894,87140.1297884466,-1.4168644354713376,1.1768644354713376,-1.2039317297441139,SL,0
2026-01-29T08:45:00+00:00,2026-01-29T14:55:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87941.50725,87941.50725,86951.26177485955,2.0120548171306085,0.0,,TP,0
2026-01-29T09:00:00+00:00,2026-01-29T12:15:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,88053.1514,88053.1514,87653.85546058387,-0.24,0.0,,SL,0
2026-01-29T09:15:00+00:00,2026-01-29T14:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87958.09895,87958.09895,87512.16526697073,0.7739684425939359,0.0,,TP,0
2026-01-29T11:30:00+00:00,2026-01-29T13:25:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87750.20295,88124.8508698628,87188.23107020582,-1.0938964179405195,0.8538964179405195,-1.2810645354138468,SL,0
2026-01-29T14:00:00+00:00,2026-01-29T14:30:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87872.4418,87872.4418,87433.65367794805,-0.24,0.0,,SL,0
2026-01-29T14:30:00+00:00,2026-01-29T15:00:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87639.05854999999,87639.05854999999,86901.44546210823,1.443297607472442,0.0,,TP,0
2026-01-29T14:45:00+00:00,2026-01-29T14:50:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,87706.9246,87706.9246,87233.9742237434,-0.24,0.0,,SL,0
2026-01-29T15:00:00+00:00,2026-01-29T17:55:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,86451.1528,86451.1528,84148.00310061885,5.088210497572787,0.0,,TP,0
2026-01-30T01:00:00+00:00,2026-01-30T01:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,84003.5772,84003.5772,83036.49074198323,2.0624887516737065,0.0,,TP,0
2026-01-30T06:15:00+00:00,2026-01-30T06:50:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82591.0838,82591.0838,81821.23142567596,-0.24,0.0,,SL,0
2026-01-30T06:30:00+00:00,2026-01-30T07:10:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82395.7815,82987.74737934345,81507.83268098482,-1.6768839485877078,1.4368839485877078,-1.167028102886035,SL,0
2026-01-30T07:45:00+00:00,2026-01-30T08:15:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82598.38015,82927.73600434077,82104.34636848884,-1.0374874416245334,0.7974874416245334,-1.3009451779091399,SL,0
2026-01-30T08:30:00+00:00,2026-01-30T11:50:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82428.96489999999,83176.04306907313,81308.34764639029,-2.052659348517764,1.8126593485177644,-1.1324021527796997,SL,0
2026-01-30T08:45:00+00:00,2026-01-30T09:40:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82577.79045,82577.79045,82139.81685021959,-0.24,0.0,,SL,0
2026-01-30T09:15:00+00:00,2026-01-30T11:50:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82475.3417,83009.18567155745,81674.57574266383,-1.5345541310984336,1.2945541310984336,-1.185392015856733,SL,0
2026-01-30T09:30:00+00:00,2026-01-30T10:50:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82454.05235,82837.30383787477,81879.17511818784,-1.1696122554364066,0.9296122554364066,-1.2581721557525423,SL,0
2026-01-31T12:15:00+00:00,2026-01-31T13:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82924.517,82924.517,82443.30784032194,0.9205956286198602,0.0,,TP,0
2026-01-31T14:15:00+00:00,2026-01-31T14:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,82191.8835,82191.8835,80908.98883767439,2.881706445200529,0.0,,TP,0
2026-02-01T01:45:00+00:00,2026-02-01T10:10:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,78391.5846,79171.89353524541,77221.12119713188,-2.2307977092873097,1.9907977092873097,-1.1205546896504708,SL,0
2026-02-01T06:45:00+00:00,2026-02-01T09:55:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,78233.96345000001,78942.66998562973,77170.90364655542,-2.051761808751169,1.811761808751169,-1.1324677442921869,SL,0
2026-02-04T21:30:00+00:00,2026-02-04T22:05:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,73191.58589999999,73191.58589999999,72089.11651799266,2.772557709881048,0.0,,TP,0
2026-02-04T21:45:00+00:00,2026-02-05T11:30:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,72167.79805,72167.79805,69881.32248099317,6.096553506655942,0.0,,TP,0
2026-02-04T22:45:00+00:00,2026-02-05T03:15:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,72858.45254999999,72858.45254999999,71249.46552469078,4.176747732063132,0.0,,TP,0
2026-02-05T00:00:00+00:00,2026-02-05T01:25:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,72990.38655,72990.38655,71668.51246290446,-0.24,0.0,,SL,0
2026-02-05T00:15:00+00:00,2026-02-05T01:25:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,72845.7589,72845.7589,71756.57218876845,-0.24,0.0,,SL,0
2026-02-05T01:00:00+00:00,2026-02-05T01:20:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,72967.59795000001,72967.59795000001,72178.11926292797,1.9239157907130793,0.0,,TP,0
2026-02-05T07:45:00+00:00,2026-02-05T09:05:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,70988.58795,71755.67196453486,69837.9619281977,-2.4011474088628155,2.1611474088628153,-1.1110521193583398,SL,0
2026-02-05T08:00:00+00:00,2026-02-05T08:30:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,70769.49755,71525.78539563953,69635.0657815407,-2.3773271587951994,2.137327158795199,-1.1122897816613564,SL,0
2026-02-05T11:15:00+00:00,2026-02-05T11:40:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,70647.95835,70647.95835,69640.57357530159,-0.24,0.0,,SL,0
2026-02-05T11:30:00+00:00,2026-02-05T15:10:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,70139.81254999999,70139.81254999999,68478.3213824229,4.497654998415263,0.0,,TP,0
2026-02-05T15:00:00+00:00,2026-02-05T18:20:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,68909.3281,68909.3281,65562.64803306876,9.47328602152264,0.0,,TP,0
2026-02-05T15:15:00+00:00,2026-02-05T18:20:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,68230.46770000001,68230.46770000001,65543.34433427818,7.636608372484672,0.0,,TP,0
2026-02-05T17:15:00+00:00,2026-02-05T20:20:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,66802.48204999999,66802.48204999999,63661.23262680399,9.164588951784319,0.0,,TP,0
2026-02-05T23:30:00+00:00,2026-02-06T00:05:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,63891.338350000005,63891.338350000005,61760.11777306974,6.431391246354341,0.0,,TP,0
2026-02-09T13:45:00+00:00,2026-02-09T14:25:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,68901.43204999999,68901.43204999999,68092.53015461686,-0.24,0.0,,SL,0
2026-02-09T14:00:00+00:00,2026-02-09T14:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,68648.6585,69327.21998166572,67630.81627750144,-2.216911119583547,1.9769111195835471,-1.1214015125022707,SL,0
2026-02-10T09:45:00+00:00,2026-02-10T11:40:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,68949.1082,68949.1082,68253.29838410043,-0.24,0.0,,SL,0
2026-02-11T09:15:00+00:00,2026-02-11T12:05:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,66762.10225,67268.34323565113,66002.7407715233,-1.7565519616366987,1.5165519616366987,-1.1582537269220807,SL,0
2026-02-11T13:15:00+00:00,2026-02-11T13:30:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,66757.10475,67363.88509903543,65846.93422644686,-2.057874970185633,1.8178749701856332,-1.1320222809247944,SL,0
2026-02-12T22:15:00+00:00,2026-02-12T22:40:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,65665.151,66080.37805929064,65042.310411064034,-1.5046801323601389,1.2646801323601389,-1.1897713056914347,SL,0
2026-02-18T21:00:00+00:00,2026-02-19T01:10:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,66104.7311,66700.10417662491,65211.671485062645,-2.0413024687272534,1.8013024687272536,-1.1332369239295923,SL,0
